Lung_R Dose (Gy),Lung_R Value (% of 1462.670 cc),L_kidney Dose (Gy),L_kidney Value (% of 156.316 cc),R_DeepFemoral Dose (Gy),R_DeepFemoral Value (% of 6327.210 cc),L_AnteriorTib Dose (Gy),L_AnteriorTib Value (% of 1734.620 cc),L_Arm Region Dose (Gy),L_Arm Region Value (% of 1127.230 cc),L_InterIliac Dose (Gy),L_InterIliac Value (% of 2372.120 cc),R_PostTib Dose (Gy),R_PostTib Value (% of 1681.970 cc),Spleen Dose (Gy),Spleen Value (% of 153.090 cc),L_heart Dose (Gy),L_heart Value (% of 165.252 cc),Lung_L Dose (Gy),Lung_L Value (% of 1460.820 cc),Liver Dose (Gy),Liver Value (% of 1795.660 cc),Brain Dose (Gy),Brain Value (% of 1276.600 cc),R_Heart Dose (Gy),R_Heart Value (% of 147.662 cc),R_AnteriorTib Dose (Gy),R_AnteriorTib Value (% of 1752.930 cc),S_int Dose (Gy),S_int Value (% of 1231.790 cc),R_InterIliac Dose (Gy),R_InterIliac Value (% of 2566.170 cc),R_Arm Region Dose (Gy),R_Arm Region Value (% of 1074.610 cc),R_Kidney Dose (Gy),R_Kidney Value (% of 153.867 cc),L_DeepFemoral Dose (Gy),L_DeepFemoral Value (% of 6255.930 cc),Pancreas Dose (Gy),Pancreas Value (% of 129.320 cc),L_int Dose (Gy),L_int Value (% of 825.443 cc),Stomach Dose (Gy),Stomach Value (% of 282.426 cc),L_PostTib Dose (Gy),L_PostTib Value (% of 1853.340 cc),
0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,0.000000,100.000000,
0.100000,100.000000,0.100000,100.000000,0.100000,0.000463,0.100000,0.000000,0.100000,88.993388,0.100000,21.492718,0.100000,0.000000,0.100000,100.000000,0.100000,100.000000,0.100000,100.000000,0.100000,100.000000,0.100000,98.350410,0.100000,100.000000,0.100000,0.000000,0.100000,98.809220,0.100000,22.556356,0.100000,92.965623,0.100000,100.000000,0.100000,0.001030,0.100000,100.000000,0.100000,98.865903,0.100000,100.000000,0.100000,0.000000,
0.300000,100.000000,0.300000,100.000000,0.300000,0.000000,0.300000,0.000000,0.300000,55.213777,0.300000,0.758240,0.300000,0.000000,0.300000,100.000000,0.300000,100.000000,0.300000,100.000000,0.300000,100.000000,0.300000,44.257264,0.300000,100.000000,0.300000,0.000000,0.300000,84.063525,0.300000,0.694889,0.300000,60.313560,0.300000,100.000000,0.300000,0.000000,0.300000,100.000000,0.300000,87.973319,0.300000,100.000000,0.300000,0.000000,
0.500000,100.000000,0.500000,100.000000,0.500000,0.000000,0.500000,0.000000,0.500000,40.695216,0.500000,0.005928,0.500000,0.000000,0.500000,100.000000,0.500000,100.000000,0.500000,100.000000,0.500000,100.000000,0.500000,10.734880,0.500000,100.000000,0.500000,0.000000,0.500000,71.138725,0.500000,0.006698,0.500000,43.829494,0.500000,100.000000,0.500000,0.000000,0.500000,100.000000,0.500000,76.284289,0.500000,100.000000,0.500000,0.000000,
0.700000,100.000000,0.700000,100.000000,0.700000,0.000000,0.700000,0.000000,0.700000,35.579682,0.700000,0.000000,0.700000,0.000000,0.700000,100.000000,0.700000,100.000000,0.700000,100.000000,0.700000,100.000000,0.700000,1.056276,0.700000,100.000000,0.700000,0.000000,0.700000,61.143149,0.700000,0.000000,0.700000,37.455425,0.700000,99.785479,0.700000,0.000000,0.700000,100.000000,0.700000,69.237649,0.700000,100.000000,0.700000,0.000000,
0.900000,100.000000,0.900000,99.993753,0.900000,0.000000,0.900000,0.000000,0.900000,31.463898,0.900000,0.000000,0.900000,0.000000,0.900000,100.000000,0.900000,100.000000,0.900000,100.000000,0.900000,100.000000,0.900000,0.001224,0.900000,100.000000,0.900000,0.000000,0.900000,54.586723,0.900000,0.000000,0.900000,35.118267,0.900000,95.596598,0.900000,0.000000,0.900000,100.000000,0.900000,64.637375,0.900000,100.000000,0.900000,0.000000,
1.100000,100.000000,1.100000,99.097883,1.100000,0.000000,1.100000,0.000000,1.100000,25.615791,1.100000,0.000000,1.100000,0.000000,1.100000,100.000000,1.100000,100.000000,1.100000,100.000000,1.100000,100.000000,1.100000,0.000000,1.100000,100.000000,1.100000,0.000000,1.100000,50.543303,1.100000,0.000000,1.100000,33.584092,1.100000,86.494034,1.100000,0.000000,1.100000,100.000000,1.100000,61.686546,1.100000,100.000000,1.100000,0.000000,
1.300000,100.000000,1.300000,95.404453,1.300000,0.000000,1.300000,0.000000,1.300000,19.501372,1.300000,0.000000,1.300000,0.000000,1.300000,100.000000,1.300000,100.000000,1.300000,100.000000,1.300000,100.000000,1.300000,0.000000,1.300000,100.000000,1.300000,0.000000,1.300000,47.372277,1.300000,0.000000,1.300000,32.007568,1.300000,77.391470,1.300000,0.000000,1.300000,100.000000,1.300000,59.742988,1.300000,100.000000,1.300000,0.000000,
1.500000,100.000000,1.500000,91.438639,1.500000,0.000000,1.500000,0.000000,1.500000,14.417372,1.500000,0.000000,1.500000,0.000000,1.500000,100.000000,1.500000,100.000000,1.500000,100.000000,1.500000,100.000000,1.500000,0.000000,1.500000,100.000000,1.500000,0.000000,1.500000,44.951077,1.500000,0.000000,1.500000,30.211124,1.500000,69.914953,1.500000,0.000000,1.500000,100.000000,1.500000,58.801496,1.500000,100.000000,1.500000,0.000000,
1.700000,100.000000,1.700000,88.862234,1.700000,0.000000,1.700000,0.000000,1.700000,11.042478,1.700000,0.000000,1.700000,0.000000,1.700000,100.000000,1.700000,100.000000,1.700000,100.000000,1.700000,100.000000,1.700000,0.000000,1.700000,100.000000,1.700000,0.000000,1.700000,43.079602,1.700000,0.000000,1.700000,27.911770,1.700000,65.514090,1.700000,0.000000,1.700000,100.000000,1.700000,58.167841,1.700000,100.000000,1.700000,0.000000,
1.900000,100.000000,1.900000,87.154209,1.900000,0.000000,1.900000,0.000000,1.900000,8.985972,1.900000,0.000000,1.900000,0.000000,1.900000,100.000000,1.900000,100.000000,1.900000,100.000000,1.900000,100.000000,1.900000,0.000000,1.900000,100.000000,1.900000,0.000000,1.900000,41.611818,1.900000,0.000000,1.900000,24.860687,1.900000,62.312770,1.900000,0.000000,1.900000,100.000000,1.900000,57.658408,1.900000,100.000000,1.900000,0.000000,
2.100000,100.000000,2.100000,85.723567,2.100000,0.000000,2.100000,0.000000,2.100000,7.548203,2.100000,0.000000,2.100000,0.000000,2.100000,100.000000,2.100000,100.000000,2.100000,100.000000,2.100000,99.996193,2.100000,0.000000,2.100000,100.000000,2.100000,0.000000,2.100000,40.413269,2.100000,0.000000,2.100000,20.868487,2.100000,60.091394,2.100000,0.000000,2.100000,100.000000,2.100000,57.209785,2.100000,100.000000,2.100000,0.000000,
2.300000,100.000000,2.300000,84.334158,2.300000,0.000000,2.300000,0.000000,2.300000,6.230681,2.300000,0.000000,2.300000,0.000000,2.300000,100.000000,2.300000,100.000000,2.300000,100.000000,2.300000,99.979987,2.300000,0.000000,2.300000,100.000000,2.300000,0.000000,2.300000,39.420688,2.300000,0.000000,2.300000,16.113835,2.300000,58.466616,2.300000,0.000000,2.300000,100.000000,2.300000,56.712420,2.300000,100.000000,2.300000,0.000000,
2.500000,100.000000,2.500000,83.234625,2.500000,0.000000,2.500000,0.000000,2.500000,4.766055,2.500000,0.000000,2.500000,0.000000,2.500000,100.000000,2.500000,100.000000,2.500000,100.000000,2.500000,99.956166,2.500000,0.000000,2.500000,100.000000,2.500000,0.000000,2.500000,38.479321,2.500000,0.000000,2.500000,11.796299,2.500000,57.149023,2.500000,0.000000,2.500000,100.000000,2.500000,56.183822,2.500000,100.000000,2.500000,0.000000,
2.700000,100.000000,2.700000,82.188820,2.700000,0.000000,2.700000,0.000000,2.700000,3.282543,2.700000,0.000000,2.700000,0.000000,2.700000,100.000000,2.700000,100.000000,2.700000,100.000000,2.700000,99.921686,2.700000,0.000000,2.700000,100.000000,2.700000,0.000000,2.700000,37.598683,2.700000,0.000000,2.700000,8.496032,2.700000,55.973597,2.700000,0.000000,2.700000,100.000000,2.700000,55.642446,2.700000,100.000000,2.700000,0.000000,
2.900000,100.000000,2.900000,81.146763,2.900000,0.000000,2.900000,0.000000,2.900000,2.034328,2.900000,0.000000,2.900000,0.000000,2.900000,100.000000,2.900000,100.000000,2.900000,100.000000,2.900000,99.880572,2.900000,0.000000,2.900000,100.000000,2.900000,0.000000,2.900000,36.761015,2.900000,0.000000,2.900000,6.139971,2.900000,54.831175,2.900000,0.000000,2.900000,100.000000,2.900000,54.991991,2.900000,100.000000,2.900000,0.000000,
3.100000,100.000000,3.100000,79.859810,3.100000,0.000000,3.100000,0.000000,3.100000,1.252547,3.100000,0.000000,3.100000,0.000000,3.100000,100.000000,3.100000,100.000000,3.100000,100.000000,3.100000,99.823686,3.100000,0.000000,3.100000,100.000000,3.100000,0.000000,3.100000,35.921443,3.100000,0.000000,3.100000,4.510740,3.100000,53.593552,3.100000,0.000000,3.100000,100.000000,3.100000,54.355022,3.100000,100.000000,3.100000,0.000000,
3.300000,100.000000,3.300000,78.355449,3.300000,0.000000,3.300000,0.000000,3.300000,0.723390,3.300000,0.000000,3.300000,0.000000,3.300000,100.000000,3.300000,100.000000,3.300000,100.000000,3.300000,99.746677,3.300000,0.000000,3.300000,100.000000,3.300000,0.000000,3.300000,35.145613,3.300000,0.000000,3.300000,3.272458,3.300000,52.250571,3.300000,0.000000,3.300000,99.986407,3.300000,53.694866,3.300000,100.000000,3.300000,0.000000,
3.500000,100.000000,3.500000,76.596197,3.500000,0.000000,3.500000,0.000000,3.500000,0.371311,3.500000,0.000000,3.500000,0.000000,3.500000,100.000000,3.500000,100.000000,3.500000,100.000000,3.500000,99.622572,3.500000,0.000000,3.500000,100.000000,3.500000,0.000000,3.500000,34.507095,3.500000,0.000000,3.500000,2.378598,3.500000,50.404925,3.500000,0.000000,3.500000,99.941098,3.500000,52.985966,3.500000,100.000000,3.500000,0.000000,
3.700000,100.000000,3.700000,74.703251,3.700000,0.000000,3.700000,0.000000,3.700000,0.160272,3.700000,0.000000,3.700000,0.000000,3.700000,100.000000,3.700000,100.000000,3.700000,100.000000,3.700000,99.474320,3.700000,0.000000,3.700000,100.000000,3.700000,0.000000,3.700000,33.909802,3.700000,0.000000,3.700000,1.741555,3.700000,48.155623,3.700000,0.000000,3.700000,99.811212,3.700000,52.282982,3.700000,100.000000,3.700000,0.000000,
